1,39396
2,39464
3,39578
4,39522
5,39452
6,39444
7,39576
8,39222
9,39000
10,38784
11,38988
12,39190
13,38838
14,39098
15,39442
16,39464
17,39224
18,39066
19,39240
20,39350
21,39220
22,39366
23,39272
24,39320
25,39268
26,39112
27,39370
28,39383
29,39436
30,39106
31,39529
32,39262
33,39344
34,39251
35,39141
36,39470
37,39399
38,39369
39,39246
40,39309
41,39424
42,39194
43,39318
44,39270
45,39370
46,39318
47,39264
48,39476
49,39032
50,39404
51,39438
52,38944
53,39244
54,39434
55,39302
56,39418
57,39356
58,39130
59,39366
60,39245
