1,18895
2,18577
3,18598
4,18901
5,19299
6,19471
7,17717
8,19376
9,19427
10,19160
11,19210
12,19495
13,19460
14,19357
15,19233
16,19339
17,19376
18,19487
19,19250
20,19336
21,19320
22,19199
23,19280
24,19359
25,19180
26,19287
27,19311
28,19416
29,19230
30,19326
31,19380
32,19279
33,19269
34,19343
35,19327
36,19379
37,19290
38,19204
39,19324
40,18604
41,18370
42,18066
43,18371
44,18340
45,17833
46,19391
47,19232
48,19343
49,19349
50,19378
51,19330
52,19325
53,19092
54,19114
55,18795
56,18684
57,18634
58,18715
59,18984
60,19236
